number_of_elements,mean_atomic_mass,mean_fie,mean_atomic_radius,mean_Density,mean_ElectronAffinity,mean_FusionHeat,mean_ThermalConductivity,mean_Valence,critical_temp,Superconductivity Type
1,102.9055,719.5,173,12450,111.2,21.7,150,6,0.00021,1
1,102.9055,719.5,173,12450,111.2,21.7,150,6,0.000325,1
1,6.941,519.9,167,535,61.1,3,85,1,4.00E-04,1
2,155.8922845,723.65,165,13305,127.35,7.88,201,4,5.00E-04,1
1,195.084,868.1,177,21450,206.8,20,71,6,0.00062,1
5,103.56381,743.8,171.6,6038.2858,83.38,7.1444,87.005316,3,0.001,1
5,72.952854,776.88,151.2,5329.0858,86.386,8.9644,107.805316,2.2,0.001,1
4,76.5177175,787.05,151.75,4434.35725,79.6075,6.9055,112.006645,2.25,0.001,1
5,72.952854,776.88,151.2,5329.0858,86.386,8.9644,107.805316,2.2,0.001,1
1,195.084,868.1,177,21450,206.8,20,71,6,0.00104,1
1,195.084,868.1,177,21450,206.8,20,71,6,0.00138,1
1,195.084,868.1,177,21450,206.8,20,71,6,0.0019,1
2,88.7956,654.6,150.5,8197,78.75,8.445,229.5,2,0.0065,1
2,111.3431,644.25,160.5,8900,78.75,7.28,256,2,0.0074,1
5,105.45428,746.5,169.8,6180.8858,83.38,7.4644,87.005316,2.8,0.01,1
2,141.0835,721.95,189,15650,44.7,34.5,93.5,6.5,0.01,1
3,95.28832,836.4666667,155,9160,91.83333333,55.93333333,83.66666667,4.666666667,0.01,1
2,155.8922845,723.65,165,13305,127.35,7.88,201,4,0.0111,1
2,123.155,788.6,134,6775,150.25,12.25,35,5,0.012,1
2,86.6241,818.15,153.5,8815,64.3,9.325,275,1.5,0.0125,1
2,115.7525,726.25,149.5,6539,19.05,6.735,97.5,3,0.013,1
2,111.9740538,733.25,146,11000,134.15,11.6,277.5,4,0.0138,1
2,123.155,788.6,134,6775,150.25,12.25,35,5,0.0138,1
3,107.0772,841.1333333,127.3333333,6425.666667,126.6666667,17.4,40,5,0.0138,1
1,183.84,769.7,193,19250,80.1,35,170,6,0.0154,1
